dataset,model,group_column,group_value,n,errors,error_rate,mean_af_abraom,mean_score
abraom_common_benign,M0,GeneSymbol,ESPN,31,3,0.0967741935483871,0.1304435431957245,0.235182358372596
abraom_common_benign,M0,GeneSymbol,ESRRB,27,4,0.14814814814814814,0.2163064181804657,0.27160281660380187
abraom_common_benign,M0,GeneSymbol,ESYT1,2,2,1.0,0.01707950048148632,0.6874523758888245
abraom_common_benign,M0,GeneSymbol,ETV4,4,0,0.0,0.18520499765872955,0.27626563236117363
abraom_common_benign,M0,GeneSymbol,ETV5,9,2,0.2222222222222222,0.26994967460632324,0.2547094076871872
abraom_common_benign,M0,GeneSymbol,EXOSC8,7,1,0.14285714285714285,0.4928688406944275,0.31269007495471407
abraom_common_benign,M0,GeneSymbol,EYS,91,20,0.21978021978021978,0.22399385273456573,0.29771526673665416
abraom_common_benign,M0,GeneSymbol,F11,36,6,0.16666666666666666,0.22408601641654968,0.30323268638716805
abraom_common_benign,M0,GeneSymbol,F13B,15,4,0.26666666666666666,0.5021347403526306,0.2804408684372902
abraom_common_benign,M0,GeneSymbol,F2,22,2,0.09090909090909091,0.17799483239650726,0.22353533350608565
abraom_common_benign,M0,GeneSymbol,F8,13,3,0.23076923076923078,0.22532638907432556,0.29580388504725236
abraom_common_benign,M0,GeneSymbol,FAM131C,3,1,0.3333333333333333,0.5546539425849915,0.4010472098986308
abraom_common_benign,M0,GeneSymbol,FAM186B,11,7,0.6363636363636364,0.06349363923072815,0.4566575349731879
abraom_common_benign,M0,GeneSymbol,FAM20C,80,9,0.1125,0.17457696795463562,0.25243746787309645
abraom_common_benign,M0,GeneSymbol,FAM24B,1,1,1.0,0.5426989793777466,0.4433594048023224
abraom_common_benign,M0,GeneSymbol,FAM47A,1,1,1.0,0.016700999811291695,0.4632014036178589
abraom_common_benign,M0,GeneSymbol,FANCA,194,20,0.10309278350515463,0.17190533876419067,0.2401243556943751
abraom_common_benign,M0,GeneSymbol,FAR1,13,3,0.23076923076923078,0.14244908094406128,0.27254510613588184
abraom_common_benign,M0,GeneSymbol,FAS,26,3,0.11538461538461539,0.23205025494098663,0.25707482174038887
abraom_common_benign,M0,GeneSymbol,FBXO31,2,0,0.0,0.24060650169849396,0.30524296313524246
abraom_common_benign,M0,GeneSymbol,FBXW10B,1,1,1.0,0.15755799412727356,0.6095241904258728
abraom_common_benign,M0,GeneSymbol,FDFT1,5,3,0.6,0.5542236566543579,0.4382710486650467
abraom_common_benign,M0,GeneSymbol,FECH,47,8,0.1702127659574468,0.23650015890598297,0.2678172082660046
abraom_common_benign,M0,GeneSymbol,FER1L5,1,1,1.0,0.4466269910335541,0.5616957545280457
abraom_common_benign,M0,GeneSymbol,FEZF1-AS1,1,1,1.0,0.62425297498703,0.46101677417755127
abraom_common_benign,M0,GeneSymbol,FGA,10,0,0.0,0.339495986700058,0.24076256155967712
abraom_common_benign,M0,GeneSymbol,FGF23,7,2,0.2857142857142857,0.10784442722797394,0.3324815311602184
abraom_common_benign,M0,GeneSymbol,FIRRM,1,1,1.0,0.013663999736309052,0.5247600078582764
abraom_common_benign,M0,GeneSymbol,FKTN,24,5,0.20833333333333334,0.12199362367391586,0.3134701990832885
abraom_common_benign,M0,GeneSymbol,FLCN,48,5,0.10416666666666667,0.19310413300991058,0.22969634256636104
abraom_common_benign,M0,GeneSymbol,FMO1,1,1,1.0,0.010247999802231789,0.6048657894134521
abraom_common_benign,M0,GeneSymbol,FOXH1,8,3,0.375,0.25736549496650696,0.3599366117268801
abraom_common_benign,M0,GeneSymbol,FOXI1,12,2,0.16666666666666666,0.35738691687583923,0.2524796165525913
abraom_common_benign,M0,GeneSymbol,FREM2,96,24,0.25,0.23627398908138275,0.30833236818822723
abraom_common_benign,M0,GeneSymbol,FRRS1L,16,4,0.25,0.36113256216049194,0.288130225148052
abraom_common_benign,M0,GeneSymbol,FTCD,19,7,0.3684210526315789,0.1379162073135376,0.412279915652777
abraom_common_benign,M0,GeneSymbol,FUT5,2,2,1.0,0.5894534587860107,0.49334532022476196
abraom_common_benign,M0,GeneSymbol,FZD4,18,5,0.2777777777777778,0.10325916111469269,0.33981023563279045
abraom_common_benign,M0,GeneSymbol,GABRE,2,2,1.0,0.33716049790382385,0.46502523124217987
abraom_common_benign,M0,GeneSymbol,GAGE12G,1,1,1.0,0.16666699945926666,0.49967190623283386
abraom_common_benign,M0,GeneSymbol,GALNT2,11,4,0.36363636363636365,0.16217674314975739,0.368564401160587
abraom_common_benign,M0,GeneSymbol,GALNT3,15,2,0.13333333333333333,0.4726729393005371,0.25952487885951997
abraom_common_benign,M0,GeneSymbol,GARS1,47,9,0.19148936170212766,0.16704213619232178,0.2826128231084093
abraom_common_benign,M0,GeneSymbol,GATA6,10,2,0.2,0.09441060572862625,0.31049430593848226
abraom_common_benign,M0,GeneSymbol,GBA1,5,1,0.2,0.42912036180496216,0.2714181452989578
abraom_common_benign,M0,GeneSymbol,GBX2,2,1,0.5,0.013236500322818756,0.4229183942079544
