threshold,br_only_mcc,br_only_recall,br_only_specificity,br_only_fp,br_only_fn,abraom_common_benign_mcc,abraom_common_benign_recall,abraom_common_benign_specificity,abraom_common_benign_fp,abraom_common_benign_fn,abraom_pathogenic_present_mcc,abraom_pathogenic_present_recall,abraom_pathogenic_present_specificity,abraom_pathogenic_present_fp,abraom_pathogenic_present_fn,global_nonbr_no_abraom_mcc,global_nonbr_no_abraom_recall,global_nonbr_no_abraom_specificity,global_nonbr_no_abraom_fp,global_nonbr_no_abraom_fn,discount_scale,constraint_gap
0.38,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.962972146458385,448,0,0.0,0.4049079754601227,,0,97,0.1498004202241065,1.0,0.0327613104524181,620,0,0.35,0.3101995797758935
0.375,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9631374493759814,446,0,0.0,0.3987730061349693,,0,98,0.1498004202241065,1.0,0.0327613104524181,620,0,0.4,0.3101995797758935
0.37,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9633854037523762,443,0,0.0,0.39263803680981596,,0,99,0.1498004202241065,1.0,0.0327613104524181,620,0,0.45,0.3101995797758935
0.365,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9634680552111745,442,0,0.0,0.39263803680981596,,0,99,0.1498004202241065,1.0,0.0327613104524181,620,0,0.5,0.3101995797758935
0.36,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9637160095875692,439,0,0.0,0.39263803680981596,,0,99,0.1498004202241065,1.0,0.0327613104524181,620,0,0.55,0.3101995797758935
0.355,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9637986610463675,438,0,0.0,0.39263803680981596,,0,99,0.1498004202241065,1.0,0.0327613104524181,620,0,0.6,0.3101995797758935
0.38,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9697495660798413,366,0,0.0,0.3619631901840491,,0,104,0.1574232694594007,0.9992581602373887,0.0390015600624025,616,1,0.45,0.31300617839336
0.33,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9680138854450782,387,0,0.0,0.3803680981595092,,0,101,0.14678880647343379,0.9992581602373887,0.0343213728549142,619,1,0.9,0.31321119352656623
0.325,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9678485825274816,389,0,0.0,0.3803680981595092,,0,101,0.14678880647343379,0.9992581602373887,0.0343213728549142,619,1,0.95,0.31321119352656623
0.32,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9678485825274816,389,0,0.0,0.37423312883435583,,0,102,0.14678880647343379,0.9992581602373887,0.0343213728549142,619,1,1.0,0.31321119352656623
0.41,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9557814695429374,535,0,0.0,0.4294478527607362,,0,93,0.14615311334356754,1.0,0.031201248049921998,621,0,0.0,0.31384688665643246
0.405,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9566906355897181,524,0,0.0,0.4294478527607362,,0,93,0.14615311334356754,1.0,0.031201248049921998,621,0,0.05,0.31384688665643246
0.4,0.5989267609290376,0.9946949602122016,0.44881889763779526,70,2,0.0,,0.9571865443425076,518,0,0.0,0.4233128834355828,,0,94,0.14615311334356754,1.0,0.031201248049921998,621,0,0.1,0.31384688665643246
