track_id,assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
ENCSR046BCI_P,PRO-cap,5632,5759,5695,0.0016236230714470011,0.0798232480423881,281538
ENCSR046BCI_P,PRO-cap,5760,5887,5823,0.0013913143849444993,0.06840210342378882,277044
ENCSR046BCI_P,PRO-cap,5888,6015,5951,0.0013767685571966913,0.06768697733528088,271618
ENCSR046BCI_P,PRO-cap,6016,6143,6079,0.0013601334553314584,0.06686913489034971,265894
ENCSR046BCI_P,PRO-cap,6144,6271,6207,0.0013328849557039165,0.06552949899652508,258447
ENCSR046BCI_P,PRO-cap,6272,6399,6335,0.0014392990897982474,0.07076120700216301,252711
ENCSR046BCI_P,PRO-cap,6400,6527,6463,0.0016942647551951569,0.0832962515634181,247287
ENCSR046BCI_P,PRO-cap,6528,6655,6591,0.0016030203223851237,0.07881034155094756,242781
ENCSR046BCI_P,PRO-cap,6656,6783,6719,0.0016663917759920453,0.08192591396983648,237763
ENCSR046BCI_P,PRO-cap,6784,6911,6847,0.0014983823024731667,0.07366595381404964,232697
ENCSR046BCI_P,PRO-cap,6912,7039,6975,0.0017464071206000971,0.08585976093972057,228275
ENCSR046BCI_P,PRO-cap,7040,7167,7103,0.001717499888357894,0.0844385756843079,222429
ENCSR046BCI_P,PRO-cap,7168,7295,7231,0.0016432090763299214,0.08078616767159455,217224
ENCSR046BCI_P,PRO-cap,7296,7423,7359,0.001296648956410955,0.06374800475042025,210693
ENCSR046BCI_P,PRO-cap,7424,7551,7487,0.0011842579337990055,0.058222451046816,205660
ENCSR046BCI_P,PRO-cap,7552,7679,7615,0.0011015839682855292,0.05415789655021806,199000
ENCSR046BCI_P,PRO-cap,7680,7807,7743,0.001068101012848167,0.052511752008377564,192318
ENCSR046BCI_P,PRO-cap,7808,7935,7871,0.0010762757343381962,0.052913651213095374,188174
ENCSR046BCI_P,PRO-cap,7936,8063,7999,0.0010575805986668286,0.05199452997238049,183650
ENCSR046BCI_P,PRO-cap,8064,8191,8127,0.0011218967371689915,0.0551565465555837,178654
ENCSR046BCI_P,PRO-cap,8192,8319,8255,0.0013502035639595298,0.06638094511529988,171888
ENCSR046BCI_P,PRO-cap,8320,8447,8383,0.0014697094816039744,0.07225629307901418,166247
ENCSR046BCI_P,PRO-cap,8448,8575,8511,0.001354056021110006,0.06657034599787115,161337
