assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
eCLIP,5248,5375,5311,0.009649803818241412,0.14740667232631097,296048
eCLIP,5376,5503,5439,0.009293258238787098,0.14196021990199684,291628
eCLIP,5504,5631,5567,0.009120133519844597,0.13931563362880225,286568
eCLIP,5632,5759,5695,0.009510259939945294,0.1452750539918268,281538
eCLIP,5760,5887,5823,0.00929018787453481,0.14191331820474118,277044
eCLIP,5888,6015,5951,0.009225521537516846,0.14092550024171374,271618
eCLIP,6016,6143,6079,0.009254888703289148,0.14137410171213607,265894
eCLIP,6144,6271,6207,0.009241050251798758,0.14116271087738239,258447
eCLIP,6272,6399,6335,0.008953763280851073,0.1367742261798954,252711
eCLIP,6400,6527,6463,0.008668165125838538,0.1324115391817048,247287
eCLIP,6528,6655,6591,0.008636080043914815,0.13192141987495243,242781
eCLIP,6656,6783,6719,0.009135139763982569,0.13954486321254914,237763
eCLIP,6784,6911,6847,0.00860143937358595,0.13139226238776305,232697
eCLIP,6912,7039,6975,0.008314441961034057,0.12700820087238132,228275
eCLIP,7040,7167,7103,0.008265884625997401,0.12626645779556803,222429
eCLIP,7168,7295,7231,0.008358166550135363,0.12767612079071947,217224
eCLIP,7296,7423,7359,0.008324068781391532,0.12715525645824682,210693
eCLIP,7424,7551,7487,0.008224193324111933,0.12562959758663078,205660
eCLIP,7552,7679,7615,0.0081820471007678,0.12498578817337244,199000
eCLIP,7680,7807,7743,0.008451282322481315,0.1290985213287143,192318
eCLIP,7808,7935,7871,0.007894097851360173,0.12058718676618108,188174
eCLIP,7936,8063,7999,0.00803407544783827,0.12272543041192928,183650
eCLIP,8064,8191,8127,0.00819014454791656,0.1251094816453869,178654
eCLIP,8192,8319,8255,0.00845067624095915,0.12908926306170454,171888
eCLIP,8320,8447,8383,0.008140267697029848,0.12434758215459855,166247
eCLIP,8448,8575,8511,0.008333369874543348,0.12729733636125112,161337
eCLIP,8576,8703,8639,0.008484340110949846,0.129603499324578,156068
eCLIP,8704,8831,8767,0.008312024182069328,0.12697126781567633,151489
eCLIP,8832,8959,8895,0.008038187335595515,0.12278824201957347,146372
eCLIP,8960,9087,9023,0.008206031306569569,0.12535216162844154,140847
eCLIP,9088,9215,9151,0.007897967388259404,0.12064629631581579,135475
