assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
PRO-cap,1792,1919,1855,0.0032677620925665313,0.27093095403561873,3653
PRO-cap,1920,2047,1983,0.003116682335210107,0.2584048944154408,3456
PRO-cap,2048,2175,2111,0.0029919857271282417,0.24806626815207927,3456
PRO-cap,2176,2303,2239,0.0030726653693180753,0.2547554370115466,3456
PRO-cap,2304,2431,2367,0.0030225261482575696,0.2505983819347934,3456
PRO-cap,2432,2559,2495,0.0028426446507780665,0.23568436299922263,3385
PRO-cap,2560,2687,2623,0.0031029138245655804,0.2572633438316156,3328
PRO-cap,2688,2815,2751,0.002734582973810397,0.22672494294164283,3245
PRO-cap,2816,2943,2879,0.0025469725769667662,0.21117011907014,3200
PRO-cap,2944,3071,3007,0.0026158505997727842,0.21688081278109644,3200
PRO-cap,3072,3199,3135,0.002631781567796745,0.21820165323495355,3191
PRO-cap,3200,3327,3263,0.0029152622949001616,0.24170510962780167,2946
PRO-cap,3328,3455,3391,0.0027788922174784643,0.23039863316740758,2944
PRO-cap,3456,3583,3519,0.002633198785134808,0.21831915507095034,2944
PRO-cap,3584,3711,3647,0.0027225498886256925,0.2257272769069887,2846
PRO-cap,3712,3839,3775,0.0028047236359534304,0.23254032238873615,2816
PRO-cap,3840,3967,3903,0.002677952102830132,0.22202966358288737,2816
PRO-cap,3968,4095,4031,0.0025502516233308447,0.2114419856058856,2615
PRO-cap,4096,4223,4159,0.0026626202815646736,0.22075849853326412,2432
PRO-cap,4224,4351,4287,0.0028590111456160707,0.2370413130877148,2432
PRO-cap,4352,4479,4415,0.0029527539306129533,0.24481355031114546,2432
PRO-cap,4480,4607,4543,0.0023626305857587077,0.19588627950898074,2432
PRO-cap,4608,4735,4671,0.00254911465785649,0.21134771952042816,2432
PRO-cap,4736,4863,4799,0.002486565713968278,0.2061617712899547,2432
PRO-cap,4864,4991,4927,0.002284334687659925,0.1893947474549082,2432
PRO-cap,4992,5119,5055,0.0022992553842584584,0.1906318260578801,2432
PRO-cap,5120,5247,5183,0.0025120465872570576,0.20827439672419112,2432
PRO-cap,5248,5375,5311,0.0029622159084441903,0.24559804520650902,2432
PRO-cap,5376,5503,5439,0.002407461497319811,0.19960322134730057,2432
PRO-cap,5504,5631,5567,0.0022035694355647265,0.1826984806572561,2432
PRO-cap,5632,5759,5695,0.002216087622171334,0.18373636656940348,2324
PRO-cap,5760,5887,5823,0.0023324731892808456,0.19338592239376604,2304
PRO-cap,5888,6015,5951,0.0028367772585938516,0.2351978960787003,2269
PRO-cap,6016,6143,6079,0.0026589284078903214,0.22045240438429087,2106
PRO-cap,6144,6271,6207,0.002287231191746576,0.18963489731690383,1991
PRO-cap,6272,6399,6335,0.0023102468179730506,0.19154312851447197,1828
PRO-cap,6400,6527,6463,0.0025818300951279127,0.21406016442325687,1792
PRO-cap,6528,6655,6591,0.002139312780453965,0.17737094567179973,1773
PRO-cap,6656,6783,6719,0.0028871855469543126,0.2393772595910776,1664
PRO-cap,6784,6911,6847,0.0026506505894544194,0.2197660884339118,1664
PRO-cap,6912,7039,6975,0.002803479375238829,0.23243716042867704,1664
PRO-cap,7040,7167,7103,0.002593440971942038,0.21502282505867978,1664
PRO-cap,7168,7295,7231,0.002349508400033511,0.19479831588223828,1664
PRO-cap,7296,7423,7359,0.0022496105527840026,0.18651576094258038,1664
PRO-cap,7424,7551,7487,0.0023580221392762724,0.19550419208439482,1664
PRO-cap,7552,7679,7615,0.00208274901615915,0.17268123014474196,1664
PRO-cap,7680,7807,7743,0.0016003884459464119,0.13268859733521576,1664
PRO-cap,7808,7935,7871,0.001521287178268092,0.12613029189239758,1664
PRO-cap,7936,8063,7999,0.001542854452947696,0.12791843990910465,1664
PRO-cap,8064,8191,8127,0.0016665706492122905,0.13817577998899358,1664
PRO-cap,8192,8319,8255,0.002048541328306322,0.16984506238136593,1484
PRO-cap,8320,8447,8383,0.0019088434913022922,0.15826268056039083,1280
