assay_type,distance_bin_start_bp,distance_bin_end_bp,distance_bin_center_bp,effect_mean,effect_relative_to_bin0,count
PRO-cap,6144,6271,6207,0.002526701790971586,0.20377126585481256,2048
PRO-cap,6272,6399,6335,0.002580112101753503,0.20807865451326804,2039
PRO-cap,6400,6527,6463,0.0022209645406060003,0.17911443189499296,1920
PRO-cap,6528,6655,6591,0.0023931153423617504,0.19299790121338892,1853
PRO-cap,6656,6783,6719,0.002433266394782458,0.19623596864437942,1792
PRO-cap,6784,6911,6847,0.002097089574065641,0.1691242704798838,1792
PRO-cap,6912,7039,6975,0.0023341796192179387,0.18824490386641454,1792
PRO-cap,7040,7167,7103,0.002461915699016642,0.19854645301199234,1664
PRO-cap,7168,7295,7231,0.002489848668948123,0.20079916706885517,1664
PRO-cap,7296,7423,7359,0.002861151777490233,0.23074369978490591,1644
PRO-cap,7424,7551,7487,0.002490524170788433,0.20085364435841072,1536
PRO-cap,7552,7679,7615,0.0021403537089383917,0.17261339909832032,1536
PRO-cap,7680,7807,7743,0.0026674617402413503,0.21512315278774963,1536
PRO-cap,7808,7935,7871,0.0021139526968943423,0.17048423305930174,1488
PRO-cap,7936,8063,7999,0.001955417355975881,0.15769881167830965,1347
PRO-cap,8064,8191,8127,0.0021324189793212114,0.17197348587069453,1243
PRO-cap,8192,8319,8255,0.0023501487582425146,0.189532769211378,1152
PRO-cap,8320,8447,8383,0.0025961273162080386,0.20937023570975033,1152
PRO-cap,8448,8575,8511,0.0022340280631030713,0.18016796758537904,1152
PRO-cap,8576,8703,8639,0.0022818313156637237,0.18402316305049793,1063
PRO-cap,8704,8831,8767,0.0025017201009447376,0.2017565640731646,1024
PRO-cap,8832,8959,8895,0.0028081315626597774,0.22646777124814668,942
PRO-cap,8960,9087,9023,0.0022969633247565614,0.18524351626305033,856
PRO-cap,9088,9215,9151,0.002672509654994807,0.21553025266115555,768
PRO-cap,9216,9343,9279,0.0022600990483094088,0.18227051790475593,768
PRO-cap,9344,9471,9407,0.0019109674001664227,0.154114049996164,768
PRO-cap,9472,9599,9535,0.0017584669023236188,0.1418153214323282,768
PRO-cap,9600,9727,9663,0.002016594010963338,0.16263253376300557,642
PRO-cap,9728,9855,9791,0.002021411425755559,0.1630210444744264,640
PRO-cap,9856,9983,9919,0.0021610064965216225,0.1742789872909211,544
PRO-cap,9984,10111,10047,0.0019072291997233037,0.1538125748323614,512
PRO-cap,10112,10239,10175,0.0018237028371252961,0.14707641281290154,512
PRO-cap,10240,10367,10303,0.001902792560205313,0.15345477255670198,512
PRO-cap,10368,10495,10431,0.0023931123781650854,0.19299766215941394,512
PRO-cap,10496,10623,10559,0.002304348676890103,0.1858391237694101,440
PRO-cap,10624,10751,10687,0.002359019715603002,0.19024818652621495,384
PRO-cap,10752,10879,10815,0.002070746139319605,0.1669997478851144,384
PRO-cap,10880,11007,10943,0.002236722045722672,0.18038522957116165,384
PRO-cap,11008,11135,11071,0.002077006189798188,0.16750460303458,384
PRO-cap,11136,11263,11199,0.0021868082256993253,0.1763598228824302,314
PRO-cap,11264,11391,11327,0.001633681843031809,0.13175176364228036,128
PRO-cap,11392,11519,11455,0.0034686608824472387,0.2797375698877214,128
PRO-cap,11520,11647,11583,0.0025186023224250675,0.2031180669041597,128
PRO-cap,11648,11775,11711,0.0023561947547250384,0.19002036151886745,128
PRO-cap,11776,11903,11839,0.0018671075306428975,0.1505768770836459,128
PRO-cap,11904,12031,11967,0.0017547862863693808,0.14151849029269772,128
PRO-cap,12032,12159,12095,0.001688667445421288,0.1361861950590504,128
PRO-cap,12160,12287,12223,0.0012121733368626914,0.0977583093385081,71
eCLIP,0,127,63,0.04896555756566526,1.0,4010
eCLIP,128,255,191,0.021703690783815253,0.4432440242247731,3968
eCLIP,256,383,319,0.01897948801014272,0.3876089429736459,3968
eCLIP,384,511,447,0.018280082927357135,0.37332532980641814,3968
eCLIP,512,639,575,0.020312880153761807,0.4148401685515624,3968
eCLIP,640,767,703,0.021590741946412098,0.44093732451545836,3968
eCLIP,768,895,831,0.02810213409019701,0.5739163503348378,3968
eCLIP,896,1023,959,0.020984011502033325,0.4285463608556426,3968
eCLIP,1024,1151,1087,0.0203391226161991,0.4153761057233612,3784
eCLIP,1152,1279,1215,0.01674550530116182,0.3419853900102181,3712
eCLIP,1280,1407,1343,0.01836481677082702,0.3750558082831771,3712
eCLIP,1408,1535,1471,0.017387751255886666,0.35510166983330727,3712
eCLIP,1536,1663,1599,0.02185566402716898,0.44634770058238266,3712
eCLIP,1664,1791,1727,0.0219867620982123,0.44902505334952947,3657
eCLIP,1792,1919,1855,0.02253057590850663,0.4601311008925407,3584
eCLIP,1920,2047,1983,0.01978068480546215,0.40397139926233383,3584
eCLIP,2048,2175,2111,0.020766686917239343,0.42410804552547327,3584
eCLIP,2176,2303,2239,0.019486882240885604,0.39797121098340854,3584
eCLIP,2304,2431,2367,0.017791705830941598,0.36335143957223465,3553
eCLIP,2432,2559,2495,0.018536428265528464,0.3785605471901385,3456
eCLIP,2560,2687,2623,0.017095588079600023,0.34913496199188554,3455
eCLIP,2688,2815,2751,0.01632841584622086,0.3334673729452307,3328
eCLIP,2816,2943,2879,0.016915035961816854,0.3454476330455943,3328
eCLIP,2944,3071,3007,0.012157839302491223,0.2482936967722047,3328
eCLIP,3072,3199,3135,0.017250714928173656,0.3523030429101024,3328
eCLIP,3200,3327,3263,0.01436455836883105,0.2933604574923396,3241
eCLIP,3328,3455,3391,0.013030305069237696,0.2661116449406995,3155
eCLIP,3456,3583,3519,0.012975475799028876,0.26499189316139443,3072
eCLIP,3584,3711,3647,0.015525679718719052,0.3170734796167355,3034
eCLIP,3712,3839,3775,0.016277925618446123,0.33243623533984296,2944
eCLIP,3840,3967,3903,0.01834168353050937,0.3745833692573041,2944
eCLIP,3968,4095,4031,0.013330049078992151,0.2722331724930507,2944
eCLIP,4096,4223,4159,0.015905285549934138,0.32482598668675133,2854
eCLIP,4224,4351,4287,0.016046349980116992,0.32770687760673484,2750
eCLIP,4352,4479,4415,0.010386640657236525,0.21212135986213412,2609
eCLIP,4480,4607,4543,0.010835390277480882,0.22128595723535024,2560
eCLIP,4608,4735,4671,0.011431705633731326,0.2334642185663022,2560
eCLIP,4736,4863,4799,0.01250997999691208,0.25548529658087876,2560
eCLIP,4864,4991,4927,0.009390035878333099,0.19176818043459612,2453
eCLIP,4992,5119,5055,0.010598781859207998,0.2164538174612737,2432
eCLIP,5120,5247,5183,0.013100817956396177,0.26755169567562515,2432
eCLIP,5248,5375,5311,0.013639576857750593,0.2785545092478369,2305
eCLIP,5376,5503,5439,0.013999143264249546,0.2858977607980057,2304
eCLIP,5504,5631,5567,0.018749734796172233,0.38291680373552167,2304
eCLIP,5632,5759,5695,0.01242263088038182,0.25370140764194204,2244
eCLIP,5760,5887,5823,0.011068483057924287,0.22604629883119168,2176
eCLIP,5888,6015,5951,0.011515505577539005,0.23517562446003268,2058
eCLIP,6016,6143,6079,0.011844672499734088,0.24189804198287318,2048
eCLIP,6144,6271,6207,0.01042957013412149,0.21299808789341196,2048
eCLIP,6272,6399,6335,0.010125359998638077,0.20678535080621646,2039
eCLIP,6400,6527,6463,0.008934947129750981,0.18247412209630762,1920
eCLIP,6528,6655,6591,0.007800947963305349,0.1593150032621172,1853
eCLIP,6656,6783,6719,0.008394208751216834,0.17143088261498463,1792
eCLIP,6784,6911,6847,0.010956232245510884,0.22375385455006877,1792
eCLIP,6912,7039,6975,0.012422630460978976,0.2537013990766797,1792
eCLIP,7040,7167,7103,0.013847062885999479,0.2827918964760051,1664
eCLIP,7168,7295,7231,0.013299983150388401,0.271619150513143,1664
eCLIP,7296,7423,7359,0.014559970567954751,0.29735126672312684,1644
eCLIP,7424,7551,7487,0.009685289962571156,0.19779801240050618,1536
eCLIP,7552,7679,7615,0.008543891384590552,0.1744877789481467,1536
eCLIP,7680,7807,7743,0.009949919336994148,0.20320241066694297,1536
eCLIP,7808,7935,7871,0.00885211217171927,0.18078242364233563,1488
eCLIP,7936,8063,7999,0.007895376691007457,0.1612434756904251,1347
